id,opId,gif,type,downloadUrl,online,thumbnailUrl,sort
206e057a-cf43-11ec-b5cd-acde48001122,like_202204_06B,False,like,sticker/download/like_202204_06B.png,1,sticker/previews/like_202204_06B.png,12
206e05ac-cf43-11ec-b5cd-acde48001122,like_202204_07A,True,like,sticker/download/like_202204_07A.gif,1,sticker/previews/like_202204_07A.png,13
206e05d4-cf43-11ec-b5cd-acde48001122,like_202204_07B,False,like,sticker/download/like_202204_07B.png,1,sticker/previews/like_202204_07B.png,14
206e0606-cf43-11ec-b5cd-acde48001122,like_202204_08A,False,like,sticker/download/like_202204_08A.png,1,sticker/previews/like_202204_08A.png,15
206e062e-cf43-11ec-b5cd-acde48001122,like_202204_08B,False,like,sticker/download/like_202204_08B.png,1,sticker/previews/like_202204_08B.png,16
206e0656-cf43-11ec-b5cd-acde48001122,like_202204_09A,False,like,sticker/download/like_202204_09A.png,1,sticker/previews/like_202204_09A.png,17
206e0688-cf43-11ec-b5cd-acde48001122,like_202204_09B,False,like,sticker/download/like_202204_09B.png,1,sticker/previews/like_202204_09B.png,18
206e06b0-cf43-11ec-b5cd-acde48001122,like_202204_10A,False,like,sticker/download/like_202204_10A.png,1,sticker/previews/like_202204_10A.png,19
206e06d8-cf43-11ec-b5cd-acde48001122,like_202204_10B,False,like,sticker/download/like_202204_10B.png,1,sticker/previews/like_202204_10B.png,20
206e070a-cf43-11ec-b5cd-acde48001122,spring_202204_01,True,spring,sticker/download/spring_202204_01.gif,1,sticker/previews/spring_202204_01.png,1
206e0822-cf43-11ec-b5cd-acde48001122,spring_202204_02,False,spring,sticker/download/spring_202204_02.png,1,sticker/previews/spring_202204_02.png,2
206e0854-cf43-11ec-b5cd-acde48001122,spring_202204_03,True,spring,sticker/download/spring_202204_03.gif,1,sticker/previews/spring_202204_03.png,3
206e087c-cf43-11ec-b5cd-acde48001122,spring_202204_04,False,spring,sticker/download/spring_202204_04.png,1,sticker/previews/spring_202204_04.png,4
206e08a4-cf43-11ec-b5cd-acde48001122,spring_202204_05,False,spring,sticker/download/spring_202204_05.png,1,sticker/previews/spring_202204_05.png,5
206e08d6-cf43-11ec-b5cd-acde48001122,spring_202204_06,False,spring,sticker/download/spring_202204_06.png,1,sticker/previews/spring_202204_06.png,6
206e08fe-cf43-11ec-b5cd-acde48001122,spring_202204_07,False,spring,sticker/download/spring_202204_07.png,1,sticker/previews/spring_202204_07.png,7
206e0926-cf43-11ec-b5cd-acde48001122,spring_202204_08,False,spring,sticker/download/spring_202204_08.png,1,sticker/previews/spring_202204_08.png,8
206e0958-cf43-11ec-b5cd-acde48001122,spring_202204_09,False,spring,sticker/download/spring_202204_09.png,1,sticker/previews/spring_202204_09.png,9
206e0980-cf43-11ec-b5cd-acde48001122,spring_202204_10,False,spring,sticker/download/spring_202204_10.png,1,sticker/previews/spring_202204_10.png,10
206e09a8-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_0,True,brasilcarnival,sticker/download/brasilcarnival_202204_0.gif,1,sticker/previews/brasilcarnival_202204_0.png,1
206e09da-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_01,False,brasilcarnival,sticker/download/brasilcarnival_202204_01.png,1,sticker/previews/brasilcarnival_202204_01.png,6
206e0a02-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_02,False,brasilcarnival,sticker/download/brasilcarnival_202204_02.png,1,sticker/previews/brasilcarnival_202204_02.png,7
206e0a34-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_03,False,brasilcarnival,sticker/download/brasilcarnival_202204_03.png,1,sticker/previews/brasilcarnival_202204_03.png,8
206e0a5c-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_04,False,brasilcarnival,sticker/download/brasilcarnival_202204_04.png,1,sticker/previews/brasilcarnival_202204_04.png,9
206e0a8e-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_05,False,brasilcarnival,sticker/download/brasilcarnival_202204_05.png,1,sticker/previews/brasilcarnival_202204_05.png,10
206e0ab6-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_06,False,brasilcarnival,sticker/download/brasilcarnival_202204_06.png,1,sticker/previews/brasilcarnival_202204_06.png,11
206e0ae8-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_07,False,brasilcarnival,sticker/download/brasilcarnival_202204_07.png,1,sticker/previews/brasilcarnival_202204_07.png,12
206e0b10-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_08,False,brasilcarnival,sticker/download/brasilcarnival_202204_08.png,1,sticker/previews/brasilcarnival_202204_08.png,13
206e0b42-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_09,False,brasilcarnival,sticker/download/brasilcarnival_202204_09.png,1,sticker/previews/brasilcarnival_202204_09.png,14
206e0b6a-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_10,False,brasilcarnival,sticker/download/brasilcarnival_202204_10.png,1,sticker/previews/brasilcarnival_202204_10.png,15
206e0b92-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_Recife,True,brasilcarnival,sticker/download/brasilcarnival_202204_Recife.gif,1,sticker/previews/brasilcarnival_202204_Recife.png,2
206e0bc4-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_Rio,True,brasilcarnival,sticker/download/brasilcarnival_202204_Rio.gif,1,sticker/previews/brasilcarnival_202204_Rio.png,3
206e0bec-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_Salvador,True,brasilcarnival,sticker/download/brasilcarnival_202204_Salvador.gif,1,sticker/previews/brasilcarnival_202204_Salvador.png,4
206e0c1e-cf43-11ec-b5cd-acde48001122,brasilcarnival_202204_SP,True,brasilcarnival,sticker/download/brasilcarnival_202204_SP.gif,1,sticker/previews/brasilcarnival_202204_SP.png,5
206e0c46-cf43-11ec-b5cd-acde48001122,subscribe_202204_01A,True,subscribe,sticker/download/subscribe_202204_01A.gif,1,sticker/previews/subscribe_202204_01A.png,1
206e0c78-cf43-11ec-b5cd-acde48001122,subscribe_202204_01B,False,subscribe,sticker/download/subscribe_202204_01B.png,1,sticker/previews/subscribe_202204_01B.png,2
206e0ca0-cf43-11ec-b5cd-acde48001122,subscribe_202204_02A,False,subscribe,sticker/download/subscribe_202204_02A.png,1,sticker/previews/subscribe_202204_02A.png,3
206e0cd2-cf43-11ec-b5cd-acde48001122,subscribe_202204_02B,False,subscribe,sticker/download/subscribe_202204_02B.png,1,sticker/previews/subscribe_202204_02B.png,4
206e0cfa-cf43-11ec-b5cd-acde48001122,subscribe_202204_03A,True,subscribe,sticker/download/subscribe_202204_03A.gif,1,sticker/previews/subscribe_202204_03A.png,5
206e0d22-cf43-11ec-b5cd-acde48001122,subscribe_202204_03B,False,subscribe,sticker/download/subscribe_202204_03B.png,1,sticker/previews/subscribe_202204_03B.png,6
206e0d54-cf43-11ec-b5cd-acde48001122,subscribe_202204_04A,False,subscribe,sticker/download/subscribe_202204_04A.png,1,sticker/previews/subscribe_202204_04A.png,7
206e0d7c-cf43-11ec-b5cd-acde48001122,subscribe_202204_04B,False,subscribe,sticker/download/subscribe_202204_04B.png,1,sticker/previews/subscribe_202204_04B.png,8
206e0dae-cf43-11ec-b5cd-acde48001122,subscribe_202204_05A,False,subscribe,sticker/download/subscribe_202204_05A.png,1,sticker/previews/subscribe_202204_05A.png,9
206e0dd6-cf43-11ec-b5cd-acde48001122,subscribe_202204_05B,False,subscribe,sticker/download/subscribe_202204_05B.png,1,sticker/previews/subscribe_202204_05B.png,10
206e0e08-cf43-11ec-b5cd-acde48001122,subscribe_202204_06A,False,subscribe,sticker/download/subscribe_202204_06A.png,1,sticker/previews/subscribe_202204_06A.png,11
206e0e30-cf43-11ec-b5cd-acde48001122,subscribe_202204_06B,False,subscribe,sticker/download/subscribe_202204_06B.png,1,sticker/previews/subscribe_202204_06B.png,12
206e0e94-cf43-11ec-b5cd-acde48001122,subscribe_202204_07A,True,subscribe,sticker/download/subscribe_202204_07A.gif,1,sticker/previews/subscribe_202204_07A.png,13
206e0ec6-cf43-11ec-b5cd-acde48001122,subscribe_202204_07B,False,subscribe,sticker/download/subscribe_202204_07B.png,1,sticker/previews/subscribe_202204_07B.png,14
206e0eee-cf43-11ec-b5cd-acde48001122,subscribe_202204_08A,False,subscribe,sticker/download/subscribe_202204_08A.png,1,sticker/previews/subscribe_202204_08A.png,15
206e0f16-cf43-11ec-b5cd-acde48001122,subscribe_202204_08B,False,subscribe,sticker/download/subscribe_202204_08B.png,1,sticker/previews/subscribe_202204_08B.png,16
206e0f3e-cf43-11ec-b5cd-acde48001122,subscribe_202204_09A,False,subscribe,sticker/download/subscribe_202204_09A.png,1,sticker/previews/subscribe_202204_09A.png,17
206e0f70-cf43-11ec-b5cd-acde48001122,subscribe_202204_09B,False,subscribe,sticker/download/subscribe_202204_09B.png,1,sticker/previews/subscribe_202204_09B.png,18
206e0f98-cf43-11ec-b5cd-acde48001122,subscribe_202204_10A,False,subscribe,sticker/download/subscribe_202204_10A.png,1,sticker/previews/subscribe_202204_10A.png,19
206e0fca-cf43-11ec-b5cd-acde48001122,subscribe_202204_10B,False,subscribe,sticker/download/subscribe_202204_10B.png,1,sticker/previews/subscribe_202204_10B.png,20
206e0ff2-cf43-11ec-b5cd-acde48001122,appicons_202205_01A,False,appicons,sticker/download/appicons_202205_01A.png,1,sticker/previews/appicons_202205_01A.png,1
206e101a-cf43-11ec-b5cd-acde48001122,appicons_202205_01B,False,appicons,sticker/download/appicons_202205_01B.png,1,sticker/previews/appicons_202205_01B.png,2
206e1042-cf43-11ec-b5cd-acde48001122,appicons_202205_02A,False,appicons,sticker/download/appicons_202205_02A.png,1,sticker/previews/appicons_202205_02A.png,3
206e106a-cf43-11ec-b5cd-acde48001122,appicons_202205_02B,False,appicons,sticker/download/appicons_202205_02B.png,1,sticker/previews/appicons_202205_02B.png,4
206e109c-cf43-11ec-b5cd-acde48001122,appicons_202205_03A,False,appicons,sticker/download/appicons_202205_03A.png,1,sticker/previews/appicons_202205_03A.png,5
206e10c4-cf43-11ec-b5cd-acde48001122,appicons_202205_03B,False,appicons,sticker/download/appicons_202205_03B.png,1,sticker/previews/appicons_202205_03B.png,6
206e10ec-cf43-11ec-b5cd-acde48001122,appicons_202205_04A,False,appicons,sticker/download/appicons_202205_04A.png,1,sticker/previews/appicons_202205_04A.png,7
206e111e-cf43-11ec-b5cd-acde48001122,appicons_202205_04B,False,appicons,sticker/download/appicons_202205_04B.png,1,sticker/previews/appicons_202205_04B.png,8
206e1146-cf43-11ec-b5cd-acde48001122,appicons_202205_05A,False,appicons,sticker/download/appicons_202205_05A.png,1,sticker/previews/appicons_202205_05A.png,9
206e116e-cf43-11ec-b5cd-acde48001122,appicons_202205_05B,False,appicons,sticker/download/appicons_202205_05B.png,1,sticker/previews/appicons_202205_05B.png,10
206e11a0-cf43-11ec-b5cd-acde48001122,appicons_202205_06A,False,appicons,sticker/download/appicons_202205_06A.png,1,sticker/previews/appicons_202205_06A.png,11
206e11c8-cf43-11ec-b5cd-acde48001122,appicons_202205_06B,False,appicons,sticker/download/appicons_202205_06B.png,1,sticker/previews/appicons_202205_06B.png,12
206e11f0-cf43-11ec-b5cd-acde48001122,appicons_202205_07A,False,appicons,sticker/download/appicons_202205_07A.png,1,sticker/previews/appicons_202205_07A.png,13
206e1218-cf43-11ec-b5cd-acde48001122,appicons_202205_07B,False,appicons,sticker/download/appicons_202205_07B.png,1,sticker/previews/appicons_202205_07B.png,14
206e124a-cf43-11ec-b5cd-acde48001122,appicons_202205_08A,False,appicons,sticker/download/appicons_202205_08A.png,1,sticker/previews/appicons_202205_08A.png,15
206e1272-cf43-11ec-b5cd-acde48001122,appicons_202205_08B,False,appicons,sticker/download/appicons_202205_08B.png,1,sticker/previews/appicons_202205_08B.png,16
206e129a-cf43-11ec-b5cd-acde48001122,appicons_202205_09A,False,appicons,sticker/download/appicons_202205_09A.png,1,sticker/previews/appicons_202205_09A.png,17
206e12c2-cf43-11ec-b5cd-acde48001122,appicons_202205_09B,False,appicons,sticker/download/appicons_202205_09B.png,1,sticker/previews/appicons_202205_09B.png,18
206e12ea-cf43-11ec-b5cd-acde48001122,family_202205_01,False,family,sticker/download/family_202205_01.png,1,sticker/previews/family_202205_01.png,1
206e131c-cf43-11ec-b5cd-acde48001122,family_202205_02,False,family,sticker/download/family_202205_02.png,1,sticker/previews/family_202205_02.png,2
206e1344-cf43-11ec-b5cd-acde48001122,family_202205_03,False,family,sticker/download/family_202205_03.png,1,sticker/previews/family_202205_03.png,3
206e136c-cf43-11ec-b5cd-acde48001122,family_202205_04,False,family,sticker/download/family_202205_04.png,1,sticker/previews/family_202205_04.png,4
206e1394-cf43-11ec-b5cd-acde48001122,family_202205_05,False,family,sticker/download/family_202205_05.png,1,sticker/previews/family_202205_05.png,5
206e13bc-cf43-11ec-b5cd-acde48001122,family_202205_06,False,family,sticker/download/family_202205_06.png,1,sticker/previews/family_202205_06.png,6
206e13ee-cf43-11ec-b5cd-acde48001122,family_202205_07,False,family,sticker/download/family_202205_07.png,1,sticker/previews/family_202205_07.png,7
206e1416-cf43-11ec-b5cd-acde48001122,family_202205_08,False,family,sticker/download/family_202205_08.png,1,sticker/previews/family_202205_08.png,8
206e143e-cf43-11ec-b5cd-acde48001122,family_202205_09,False,family,sticker/download/family_202205_09.png,1,sticker/previews/family_202205_09.png,9
206e1466-cf43-11ec-b5cd-acde48001122,family_202205_10,False,family,sticker/download/family_202205_10.png,1,sticker/previews/family_202205_10.png,10
206e1498-cf43-11ec-b5cd-acde48001122,family_202205_11,False,family,sticker/download/family_202205_11.png,1,sticker/previews/family_202205_11.png,11
206e14c0-cf43-11ec-b5cd-acde48001122,family_202205_12,False,family,sticker/download/family_202205_12.png,1,sticker/previews/family_202205_12.png,12
206e14e8-cf43-11ec-b5cd-acde48001122,family_202205_13,False,family,sticker/download/family_202205_13.png,1,sticker/previews/family_202205_13.png,13
206e151a-cf43-11ec-b5cd-acde48001122,family_202205_14,False,family,sticker/download/family_202205_14.png,1,sticker/previews/family_202205_14.png,14
206e1542-cf43-11ec-b5cd-acde48001122,family_202205_15,False,family,sticker/download/family_202205_15.png,1,sticker/previews/family_202205_15.png,15
206e1574-cf43-11ec-b5cd-acde48001122,social_202205_01,False,social,sticker/download/social_202205_01.png,1,sticker/previews/social_202205_01.png,1
206e159c-cf43-11ec-b5cd-acde48001122,social_202205_02,False,social,sticker/download/social_202205_02.png,1,sticker/previews/social_202205_02.png,2
206e15c4-cf43-11ec-b5cd-acde48001122,social_202205_03,False,social,sticker/download/social_202205_03.png,1,sticker/previews/social_202205_03.png,3
206e15ec-cf43-11ec-b5cd-acde48001122,social_202205_04,False,social,sticker/download/social_202205_04.png,1,sticker/previews/social_202205_04.png,4
206e1614-cf43-11ec-b5cd-acde48001122,social_202205_05,False,social,sticker/download/social_202205_05.png,1,sticker/previews/social_202205_05.png,5
206e1646-cf43-11ec-b5cd-acde48001122,social_202205_06,False,social,sticker/download/social_202205_06.png,1,sticker/previews/social_202205_06.png,6
206e166e-cf43-11ec-b5cd-acde48001122,social_202205_07,False,social,sticker/download/social_202205_07.png,1,sticker/previews/social_202205_07.png,7
206e1696-cf43-11ec-b5cd-acde48001122,social_202205_08,False,social,sticker/download/social_202205_08.png,1,sticker/previews/social_202205_08.png,8
206e16c8-cf43-11ec-b5cd-acde48001122,social_202205_09,False,social,sticker/download/social_202205_09.png,1,sticker/previews/social_202205_09.png,9
206e16fa-cf43-11ec-b5cd-acde48001122,social_202205_10,False,social,sticker/download/social_202205_10.png,1,sticker/previews/social_202205_10.png,10
206e1722-cf43-11ec-b5cd-acde48001122,weather_202205_01,False,weather,sticker/download/weather_202205_01.png,1,sticker/previews/weather_202205_01.png,1
206e174a-cf43-11ec-b5cd-acde48001122,weather_202205_02,False,weather,sticker/download/weather_202205_02.png,1,sticker/previews/weather_202205_02.png,2
206e1772-cf43-11ec-b5cd-acde48001122,weather_202205_03,False,weather,sticker/download/weather_202205_03.png,1,sticker/previews/weather_202205_03.png,3
206e17a4-cf43-11ec-b5cd-acde48001122,weather_202205_04,False,weather,sticker/download/weather_202205_04.png,1,sticker/previews/weather_202205_04.png,4
206e17cc-cf43-11ec-b5cd-acde48001122,weather_202205_05,False,weather,sticker/download/weather_202205_05.png,1,sticker/previews/weather_202205_05.png,5
206e17f4-cf43-11ec-b5cd-acde48001122,weather_202205_06,False,weather,sticker/download/weather_202205_06.png,1,sticker/previews/weather_202205_06.png,6
206e181c-cf43-11ec-b5cd-acde48001122,weather_202205_07,False,weather,sticker/download/weather_202205_07.png,1,sticker/previews/weather_202205_07.png,7
206e184e-cf43-11ec-b5cd-acde48001122,weather_202205_08,False,weather,sticker/download/weather_202205_08.png,1,sticker/previews/weather_202205_08.png,8
206e1876-cf43-11ec-b5cd-acde48001122,weather_202205_09,False,weather,sticker/download/weather_202205_09.png,1,sticker/previews/weather_202205_09.png,9
206e189e-cf43-11ec-b5cd-acde48001122,weather_202205_10,False,weather,sticker/download/weather_202205_10.png,1,sticker/previews/weather_202205_10.png,10
206e18c6-cf43-11ec-b5cd-acde48001122,arrows_202205_01A,True,arrows,sticker/download/arrows_202205_01A.gif,1,sticker/previews/arrows_202205_01A.png,1
206e18f8-cf43-11ec-b5cd-acde48001122,arrows_202205_01B,False,arrows,sticker/download/arrows_202205_01B.png,1,sticker/previews/arrows_202205_01B.png,2
206e1920-cf43-11ec-b5cd-acde48001122,arrows_202205_02A,True,arrows,sticker/download/arrows_202205_02A.gif,1,sticker/previews/arrows_202205_02A.png,3
206e1948-cf43-11ec-b5cd-acde48001122,arrows_202205_02B,False,arrows,sticker/download/arrows_202205_02B.png,1,sticker/previews/arrows_202205_02B.png,4
206e1970-cf43-11ec-b5cd-acde48001122,arrows_202205_03A,True,arrows,sticker/download/arrows_202205_03A.gif,1,sticker/previews/arrows_202205_03A.png,5
206e19a2-cf43-11ec-b5cd-acde48001122,arrows_202205_03B,False,arrows,sticker/download/arrows_202205_03B.png,1,sticker/previews/arrows_202205_03B.png,6
206e19ca-cf43-11ec-b5cd-acde48001122,arrows_202205_04A,True,arrows,sticker/download/arrows_202205_04A.gif,1,sticker/previews/arrows_202205_04A.png,7
206e19f2-cf43-11ec-b5cd-acde48001122,arrows_202205_04B,False,arrows,sticker/download/arrows_202205_04B.png,1,sticker/previews/arrows_202205_04B.png,8
206e1a24-cf43-11ec-b5cd-acde48001122,arrows_202205_05A,True,arrows,sticker/download/arrows_202205_05A.gif,1,sticker/previews/arrows_202205_05A.png,9
206e1a4c-cf43-11ec-b5cd-acde48001122,arrows_202205_05B,False,arrows,sticker/download/arrows_202205_05B.png,1,sticker/previews/arrows_202205_05B.png,10
206e1a74-cf43-11ec-b5cd-acde48001122,arrows_202205_06A,True,arrows,sticker/download/arrows_202205_06A.gif,1,sticker/previews/arrows_202205_06A.png,11
206e1a9c-cf43-11ec-b5cd-acde48001122,arrows_202205_06B,False,arrows,sticker/download/arrows_202205_06B.png,1,sticker/previews/arrows_202205_06B.png,12
206e1ace-cf43-11ec-b5cd-acde48001122,arrows_202205_07A,True,arrows,sticker/download/arrows_202205_07A.gif,1,sticker/previews/arrows_202205_07A.png,13
206e1af6-cf43-11ec-b5cd-acde48001122,arrows_202205_07B,False,arrows,sticker/download/arrows_202205_07B.png,1,sticker/previews/arrows_202205_07B.png,14
206e1b28-cf43-11ec-b5cd-acde48001122,arrows_202205_08A,True,arrows,sticker/download/arrows_202205_08A.gif,1,sticker/previews/arrows_202205_08A.png,15
206e1b50-cf43-11ec-b5cd-acde48001122,arrows_202205_08B,False,arrows,sticker/download/arrows_202205_08B.png,1,sticker/previews/arrows_202205_08B.png,16
206e1b78-cf43-11ec-b5cd-acde48001122,arrows_202205_09A,True,arrows,sticker/download/arrows_202205_09A.gif,1,sticker/previews/arrows_202205_09A.png,17
206e1baa-cf43-11ec-b5cd-acde48001122,arrows_202205_09B,False,arrows,sticker/download/arrows_202205_09B.png,1,sticker/previews/arrows_202205_09B.png,18
206e1bd2-cf43-11ec-b5cd-acde48001122,arrows_202205_10A,True,arrows,sticker/download/arrows_202205_10A.gif,1,sticker/previews/arrows_202205_10A.png,19
206e1bfa-cf43-11ec-b5cd-acde48001122,arrows_202205_10B,False,arrows,sticker/download/arrows_202205_10B.png,1,sticker/previews/arrows_202205_10B.png,20
206e1c2c-cf43-11ec-b5cd-acde48001122,easter_202205_01,False,easter,sticker/download/easter_202205_01.png,1,sticker/previews/easter_202205_01.png,1
206e1c54-cf43-11ec-b5cd-acde48001122,easter_202205_02,False,easter,sticker/download/easter_202205_02.png,1,sticker/previews/easter_202205_02.png,2
206e1c7c-cf43-11ec-b5cd-acde48001122,easter_202205_03,True,easter,sticker/download/easter_202205_03.gif,1,sticker/previews/easter_202205_03.png,3
206e1cae-cf43-11ec-b5cd-acde48001122,easter_202205_04,False,easter,sticker/download/easter_202205_04.png,1,sticker/previews/easter_202205_04.png,4
206e1cd6-cf43-11ec-b5cd-acde48001122,easter_202205_05,False,easter,sticker/download/easter_202205_05.png,1,sticker/previews/easter_202205_05.png,5
206e1cfe-cf43-11ec-b5cd-acde48001122,easter_202205_06,True,easter,sticker/download/easter_202205_06.gif,1,sticker/previews/easter_202205_06.png,6
206e1d30-cf43-11ec-b5cd-acde48001122,easter_202205_07,True,easter,sticker/download/easter_202205_07.gif,1,sticker/previews/easter_202205_07.png,7
206e1d58-cf43-11ec-b5cd-acde48001122,easter_202205_08,True,easter,sticker/download/easter_202205_08.gif,1,sticker/previews/easter_202205_08.png,8
