opId,type,sort,id,thumbnailUrl,gif,downloadUrl,online
like_202204_06B,like,12,206e057a-cf43-11ec-b5cd-acde48001122,sticker/previews/like_202204_06B.png,False,sticker/download/like_202204_06B.png,1
like_202204_07A,like,13,206e05ac-cf43-11ec-b5cd-acde48001122,sticker/previews/like_202204_07A.png,True,sticker/download/like_202204_07A.gif,1
like_202204_07B,like,14,206e05d4-cf43-11ec-b5cd-acde48001122,sticker/previews/like_202204_07B.png,False,sticker/download/like_202204_07B.png,1
like_202204_08A,like,15,206e0606-cf43-11ec-b5cd-acde48001122,sticker/previews/like_202204_08A.png,False,sticker/download/like_202204_08A.png,1
like_202204_08B,like,16,206e062e-cf43-11ec-b5cd-acde48001122,sticker/previews/like_202204_08B.png,False,sticker/download/like_202204_08B.png,1
like_202204_09A,like,17,206e0656-cf43-11ec-b5cd-acde48001122,sticker/previews/like_202204_09A.png,False,sticker/download/like_202204_09A.png,1
like_202204_09B,like,18,206e0688-cf43-11ec-b5cd-acde48001122,sticker/previews/like_202204_09B.png,False,sticker/download/like_202204_09B.png,1
like_202204_10A,like,19,206e06b0-cf43-11ec-b5cd-acde48001122,sticker/previews/like_202204_10A.png,False,sticker/download/like_202204_10A.png,1
like_202204_10B,like,20,206e06d8-cf43-11ec-b5cd-acde48001122,sticker/previews/like_202204_10B.png,False,sticker/download/like_202204_10B.png,1
spring_202204_01,spring,1,206e070a-cf43-11ec-b5cd-acde48001122,sticker/previews/spring_202204_01.png,True,sticker/download/spring_202204_01.gif,1
spring_202204_02,spring,2,206e0822-cf43-11ec-b5cd-acde48001122,sticker/previews/spring_202204_02.png,False,sticker/download/spring_202204_02.png,1
spring_202204_03,spring,3,206e0854-cf43-11ec-b5cd-acde48001122,sticker/previews/spring_202204_03.png,True,sticker/download/spring_202204_03.gif,1
spring_202204_04,spring,4,206e087c-cf43-11ec-b5cd-acde48001122,sticker/previews/spring_202204_04.png,False,sticker/download/spring_202204_04.png,1
spring_202204_05,spring,5,206e08a4-cf43-11ec-b5cd-acde48001122,sticker/previews/spring_202204_05.png,False,sticker/download/spring_202204_05.png,1
spring_202204_06,spring,6,206e08d6-cf43-11ec-b5cd-acde48001122,sticker/previews/spring_202204_06.png,False,sticker/download/spring_202204_06.png,1
spring_202204_07,spring,7,206e08fe-cf43-11ec-b5cd-acde48001122,sticker/previews/spring_202204_07.png,False,sticker/download/spring_202204_07.png,1
spring_202204_08,spring,8,206e0926-cf43-11ec-b5cd-acde48001122,sticker/previews/spring_202204_08.png,False,sticker/download/spring_202204_08.png,1
spring_202204_09,spring,9,206e0958-cf43-11ec-b5cd-acde48001122,sticker/previews/spring_202204_09.png,False,sticker/download/spring_202204_09.png,1
spring_202204_10,spring,10,206e0980-cf43-11ec-b5cd-acde48001122,sticker/previews/spring_202204_10.png,False,sticker/download/spring_202204_10.png,1
brasilcarnival_202204_0,brasilcarnival,1,206e09a8-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_0.png,True,sticker/download/brasilcarnival_202204_0.gif,1
brasilcarnival_202204_01,brasilcarnival,6,206e09da-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_01.png,False,sticker/download/brasilcarnival_202204_01.png,1
brasilcarnival_202204_02,brasilcarnival,7,206e0a02-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_02.png,False,sticker/download/brasilcarnival_202204_02.png,1
brasilcarnival_202204_03,brasilcarnival,8,206e0a34-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_03.png,False,sticker/download/brasilcarnival_202204_03.png,1
brasilcarnival_202204_04,brasilcarnival,9,206e0a5c-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_04.png,False,sticker/download/brasilcarnival_202204_04.png,1
brasilcarnival_202204_05,brasilcarnival,10,206e0a8e-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_05.png,False,sticker/download/brasilcarnival_202204_05.png,1
brasilcarnival_202204_06,brasilcarnival,11,206e0ab6-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_06.png,False,sticker/download/brasilcarnival_202204_06.png,1
brasilcarnival_202204_07,brasilcarnival,12,206e0ae8-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_07.png,False,sticker/download/brasilcarnival_202204_07.png,1
brasilcarnival_202204_08,brasilcarnival,13,206e0b10-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_08.png,False,sticker/download/brasilcarnival_202204_08.png,1
brasilcarnival_202204_09,brasilcarnival,14,206e0b42-cf43-11ec-b5cd-acde48001122,sticker/previews/brasilcarnival_202204_09.png,False,sticker/download/brasilcarnival_202204_09.png,1
